Rank,Title,Rating
1,The Shawshank Redemption,9.3
2,The Godfather,9.2
3,The Dark Knight,9.1
4,The Godfather Part II,9.0
5,12 Angry Men,9.0
6,The Lord of the Rings: The Return of the King,9.0
7,Schindler's List,9.0
8,The Lord of the Rings: The Fellowship of the Ring,8.9
9,Pulp Fiction,8.8
10,"The Good, the Bad and the Ugly",8.8
11,The Lord of the Rings: The Two Towers,8.8
12,Forrest Gump,8.8
13,Fight Club,8.8
14,Inception,8.8
15,Star Wars: Episode V - The Empire Strikes Back,8.7
16,The Matrix,8.7
17,Goodfellas,8.7
18,Interstellar,8.7
19,One Flew Over the Cuckoo's Nest,8.6
20,Se7en,8.6
21,It's a Wonderful Life,8.6
22,The Silence of the Lambs,8.6
23,Seven Samurai,8.6
24,Saving Private Ryan,8.6
25,The Green Mile,8.6
26,City of God,8.6
27,Life Is Beautiful,8.6
28,Terminator 2: Judgment Day,8.6
29,Star Wars: Episode IV - A New Hope,8.6
30,Back to the Future,8.5
31,Spirited Away,8.6
32,The Pianist,8.5
33,Gladiator,8.5
34,Parasite,8.5
35,Grave of the Fireflies,8.5
36,Psycho,8.5
37,The Lion King,8.5
38,Harakiri,8.6
39,The Departed,8.5
40,Whiplash,8.5
41,The Prestige,8.5
42,American History X,8.5
43,Léon: The Professional,8.5
44,Spider-Man: Across the Spider-Verse,8.5
45,Cinema Paradiso,8.5
46,Casablanca,8.5
47,The Intouchables,8.5
48,The Usual Suspects,8.5
49,Alien,8.5
50,Modern Times,8.5
51,Django Unchained,8.5
52,Rear Window,8.5
53,Once Upon a Time in the West,8.5
54,City Lights,8.5
55,Apocalypse Now,8.4
56,WALL·E,8.4
57,Memento,8.4
58,Dune: Part Two,8.4
59,Raiders of the Lost Ark,8.4
60,Avengers: Infinity War,8.4
61,The Lives of Others,8.4
62,Spider-Man: Into the Spider-Verse,8.4
63,Sunset Boulevard,8.4
64,Witness for the Prosecution,8.4
65,Paths of Glory,8.4
66,The Shining,8.4
67,The Great Dictator,8.4
68,Inglourious Basterds,8.4
69,12th Fail,8.7
70,Aliens,8.4
71,High and Low,8.4
72,The Dark Knight Rises,8.4
73,Coco,8.4
74,Avengers: Endgame,8.4
75,Good Will Hunting,8.3
76,Amadeus,8.4
77,Toy Story,8.3
78,Your Name.,8.4
79,Das Boot,8.4
80,Oldboy,8.3
81,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3
82,Braveheart,8.3
83,Princess Mononoke,8.3
84,American Beauty,8.3
85,3 Idiots,8.4
86,Capernaum,8.4
87,Joker,8.3
88,Singin' in the Rain,8.3
89,Once Upon a Time in America,8.3
90,Come and See,8.3
91,Star Wars: Episode VI - Return of the Jedi,8.3
92,Requiem for a Dream,8.3
93,Toy Story 3,8.3
94,Ikiru,8.3
95,The Hunt,8.3
96,Incendies,8.3
97,Eternal Sunshine of the Spotless Mind,8.3
98,The Apartment,8.3
99,Lawrence of Arabia,8.3
100,2001: A Space Odyssey,8.3
101,Reservoir Dogs,8.3
102,Heat,8.3
103,Scarface,8.3
104,Double Indemnity,8.3
105,Up,8.3
106,North by Northwest,8.3
107,Like Stars on Earth,8.3
108,Full Metal Jacket,8.2
109,M,8.3
110,Citizen Kane,8.2
111,Amélie,8.3
112,Vertigo,8.2
113,A Separation,8.3
114,Die Hard,8.2
115,To Kill a Mockingbird,8.3
116,The Sting,8.2
117,Indiana Jones and the Last Crusade,8.2
118,A Clockwork Orange,8.2
119,Metropolis,8.2
120,Snatch,8.2
121,1917,8.2
122,L.A. Confidential,8.2
123,Downfall,8.2
124,The Wolf of Wall Street,8.2
125,Dangal,8.3
126,Bicycle Thieves,8.2
127,Oppenheimer,8.2
128,The Truman Show,8.2
129,Green Book,8.2
130,Shutter Island,8.2
131,Judgment at Nuremberg,8.3
132,Batman Begins,8.2
133,Hamilton,8.3
134,Taxi Driver,8.2
135,For a Few Dollars More,8.2
136,Jurassic Park,8.2
137,Some Like It Hot,8.2
138,There Will Be Blood,8.2
139,The Kid,8.2
140,The Father,8.2
141,All About Eve,8.2
142,The Sixth Sense,8.2
143,Ran,8.2
144,Casino,8.2
145,No Country for Old Men,8.2
146,The Thing,8.2
147,Top Gun: Maverick,8.2
148,Prisoners,8.2
149,Pan's Labyrinth,8.2
150,Kill Bill: Vol. 1,8.2
151,Unforgiven,8.2
152,A Beautiful Mind,8.2
153,The Treasure of the Sierra Madre,8.2
154,Howl's Moving Castle,8.2
155,Finding Nemo,8.2
156,Yojimbo,8.2
157,Klaus,8.2
158,The Great Escape,8.2
159,The Elephant Man,8.2
160,Monty Python and the Holy Grail,8.2
161,The Chaos Class Failed the Class,8.5
162,The Best of Youth,8.4
163,Dial M for Murder,8.2
164,Gone with the Wind,8.2
165,The Secret in Their Eyes,8.2
166,Demon Slayer: Kimetsu no Yaiba Infinity Castle,8.4
167,Chinatown,8.1
168,"Lock, Stock and Two Smoking Barrels",8.1
169,V for Vendetta,8.1
170,Inside Out,8.1
171,Rashomon,8.1
172,Catch Me If You Can,8.1
173,"Three Billboards Outside Ebbing, Missouri",8.1
174,Trainspotting,8.1
175,The Bridge on the River Kwai,8.1
176,Harry Potter and the Deathly Hallows: Part 2,8.1
177,Dead Poets Society,8.1
178,Fargo,8.1
179,The Wild Robot,8.2
180,Warrior,8.1
181,Raging Bull,8.1
182,Barry Lyndon,8.1
183,Ben-Hur,8.1
184,Million Dollar Baby,8.1
185,Mad Max: Fury Road,8.1
186,Gran Torino,8.1
187,My Neighbor Totoro,8.1
188,Children of Heaven,8.2
189,Hacksaw Ridge,8.1
190,The Grand Budapest Hotel,8.1
191,12 Years a Slave,8.1
192,Before Sunrise,8.1
193,Ratatouille,8.1
194,Blade Runner,8.1
195,Memories of Murder,8.1
196,How to Train Your Dragon,8.1
197,Spider-Man: No Way Home,8.2
198,Gone Girl,8.1
199,"Monsters, Inc.",8.1
200,Jaws,8.1
201,In the Name of the Father,8.1
202,Ford v Ferrari,8.1
203,Wild Tales,8.1
204,The Gold Rush,8.1
205,Sherlock Jr.,8.1
206,Mary and Max,8.1
207,The Deer Hunter,8.1
208,The Wages of Fear,8.1
209,The General,8.1
210,Logan,8.1
211,Mr. Smith Goes to Washington,8.1
212,Rocky,8.1
213,On the Waterfront,8.1
214,Tokyo Story,8.1
215,Pirates of the Caribbean: The Curse of the Black Pearl,8.1
216,Wild Strawberries,8.1
217,Spotlight,8.1
218,La haine,8.1
219,The Third Man,8.1
220,The Terminator,8.1
221,Jai Bhim,8.6
222,Maharaja,8.3
223,A Silent Voice: The Movie,8.2
224,The Sound of Music,8.1
225,The Big Lebowski,8.1
226,The Best Years of Our Lives,8.1
227,The Seventh Seal,8.1
228,Room,8.1
229,Before Sunset,8.1
230,Hotel Rwanda,8.1
231,Platoon,8.1
232,The Incredibles,8.0
233,Hachi: A Dog's Tale,8.1
234,The Exorcist,8.1
235,Chainsaw Man - The Movie: Reze Arc,8.4
236,Rush,8.1
237,The Wizard of Oz,8.1
238,Stand by Me,8.1
